title,indicator_name,neighborhood,% reported good or excellent
Climate and Health,Older adults living alone,Rockaways,28.44
Climate and Health,Older adults living alone,Port Richmond,28.58
Climate and Health,Older adults living alone,Stapleton - St. George,27.25
Climate and Health,Older adults living alone,Willowbrook,20.59
Climate and Health,Older adults living alone,South Beach - Tottenville,20.86
Climate and Health,Older adults living alone,Kingsbridge - Riverdale,33.83
Climate and Health,Older adults living alone,Northeast Bronx,27.42
Climate and Health,Older adults living alone,Fordham - Bronx Pk,31.29
Climate and Health,Older adults living alone,Pelham - Throgs Neck,31.27
Climate and Health,Older adults living alone,Crotona -Tremont,34.77
Climate and Health,Older adults living alone,High Bridge - Morrisania,39.43
Climate and Health,Older adults living alone,Hunts Point - Mott Haven,38.63
Climate and Health,Older adults living alone,Greenpoint,33.05
Climate and Health,Older adults living alone,Downtown - Heights - Slope,33.33
Climate and Health,Older adults living alone,Bedford Stuyvesant - Crown Heights,35.33
Climate and Health,Older adults living alone,East New York,27.11
Climate and Health,Older adults living alone,Sunset Park,20.18
Climate and Health,Older adults living alone,Borough Park,27.05
Climate and Health,Older adults living alone,East Flatbush - Flatbush,25.92
Climate and Health,Older adults living alone,Canarsie - Flatlands,22.5
Climate and Health,Older adults living alone,Bensonhurst - Bay Ridge,27.64
Climate and Health,Older adults living alone,Coney Island - Sheepshead Bay,29.87
Climate and Health,Older adults living alone,Williamsburg - Bushwick,32.8
Climate and Health,Older adults living alone,Washington Heights,29.43
Climate and Health,Older adults living alone,Central Harlem - Morningside Heights,46.35
Climate and Health,Older adults living alone,East Harlem,43.06
Climate and Health,Older adults living alone,Upper West Side,40.65
Climate and Health,Older adults living alone,Upper East Side,40.97
Climate and Health,Older adults living alone,Chelsea - Clinton,51.83
Climate and Health,Older adults living alone,Gramercy Park - Murray Hill,50.27
Climate and Health,Older adults living alone,Greenwich Village - SoHo,42.22
Climate and Health,Older adults living alone,Union Square - Lower East Side,39.1
Climate and Health,Older adults living alone,Lower Manhattan,37.7
Climate and Health,Older adults living alone,Long Island City - Astoria,32.37
Climate and Health,Older adults living alone,West Queens,23.14
Climate and Health,Older adults living alone,Flushing - Clearview,22.52
Climate and Health,Older adults living alone,Bayside - Little Neck,21.24
Climate and Health,Older adults living alone,Ridgewood - Forest Hills,29.22
Climate and Health,Older adults living alone,Fresh Meadows,23.68
Climate and Health,Older adults living alone,Southwest Queens,16.51
Climate and Health,Older adults living alone,Jamaica,21.13
Climate and Health,Older adults living alone,Southeast Queens,17.23
Climate and Health,Older adults living alone,Rockaways,27.99
Climate and Health,Older adults living alone,Port Richmond,28.3
Climate and Health,Older adults living alone,Stapleton - St. George,28.52
Climate and Health,Older adults living alone,Willowbrook,18.94
Climate and Health,Older adults living alone,South Beach - Tottenville,20.95
Climate and Health,Older adults living alone,Kingsbridge - Riverdale,34.89
Climate and Health,Older adults living alone,Northeast Bronx,27.22
Climate and Health,Older adults living alone,Fordham - Bronx Pk,33.5
Climate and Health,Older adults living alone,Pelham - Throgs Neck,31.04
Climate and Health,Older adults living alone,Crotona -Tremont,34.4
Climate and Health,Older adults living alone,High Bridge - Morrisania,40.08
Climate and Health,Older adults living alone,Hunts Point - Mott Haven,39.43
Climate and Health,Older adults living alone,Greenpoint,30.5
Climate and Health,Older adults living alone,Downtown - Heights - Slope,32.42
Climate and Health,Older adults living alone,Bedford Stuyvesant - Crown Heights,35.74
Climate and Health,Older adults living alone,East New York,25.28
Climate and Health,Older adults living alone,Sunset Park,19.79
Climate and Health,Older adults living alone,Borough Park,26.68
Climate and Health,Older adults living alone,East Flatbush - Flatbush,25.89
Climate and Health,Older adults living alone,Canarsie - Flatlands,22.02
Climate and Health,Older adults living alone,Bensonhurst - Bay Ridge,27.57
Climate and Health,Older adults living alone,Coney Island - Sheepshead Bay,29.4
Climate and Health,Older adults living alone,Williamsburg - Bushwick,31.25
Climate and Health,Older adults living alone,Washington Heights,30.59
Climate and Health,Older adults living alone,Central Harlem - Morningside Heights,44.51
Climate and Health,Older adults living alone,East Harlem,44.55
Climate and Health,Older adults living alone,Upper West Side,41.88
Climate and Health,Older adults living alone,Upper East Side,39.16
Climate and Health,Older adults living alone,Chelsea - Clinton,50.87
Climate and Health,Older adults living alone,Gramercy Park - Murray Hill,48.95
Climate and Health,Older adults living alone,Greenwich Village - SoHo,43.76
Climate and Health,Older adults living alone,Union Square - Lower East Side,37.92
Climate and Health,Older adults living alone,Lower Manhattan,38.91
Climate and Health,Older adults living alone,Long Island City - Astoria,33.52
Climate and Health,Older adults living alone,West Queens,23.58
Climate and Health,Older adults living alone,Flushing - Clearview,23.27
Climate and Health,Older adults living alone,Bayside - Little Neck,23.38
Climate and Health,Older adults living alone,Ridgewood - Forest Hills,29.86
Climate and Health,Older adults living alone,Fresh Meadows,23.46
Climate and Health,Older adults living alone,Southwest Queens,16.52
Climate and Health,Older adults living alone,Jamaica,21.18
Climate and Health,Older adults living alone,Southeast Queens,17
Climate and Health,Older adults living alone,Rockaways,27.85
Climate and Health,Older adults living alone,Port Richmond,27.96
Climate and Health,Older adults living alone,Stapleton - St. George,28.87
Climate and Health,Older adults living alone,Willowbrook,20.72
Climate and Health,Older adults living alone,South Beach - Tottenville,20.49
Climate and Health,Older adults living alone,Kingsbridge - Riverdale,35.67
Climate and Health,Older adults living alone,Northeast Bronx,25.99
Climate and Health,Older adults living alone,Fordham - Bronx Pk,35.54
Climate and Health,Older adults living alone,Pelham - Throgs Neck,29.49
Climate and Health,Older adults living alone,Crotona -Tremont,35.12
Climate and Health,Older adults living alone,High Bridge - Morrisania,44.25
Climate and Health,Older adults living alone,Hunts Point - Mott Haven,43.45
Climate and Health,Older adults living alone,Greenpoint,30.25
Climate and Health,Older adults living alone,Downtown - Heights - Slope,32.83
Climate and Health,Older adults living alone,Bedford Stuyvesant - Crown Heights,34.71
Climate and Health,Older adults living alone,East New York,25.22
Climate and Health,Older adults living alone,Sunset Park,20.72
Climate and Health,Older adults living alone,Borough Park,25.79
Climate and Health,Older adults living alone,East Flatbush - Flatbush,25.83
Climate and Health,Older adults living alone,Canarsie - Flatlands,23.19
Climate and Health,Older adults living alone,Bensonhurst - Bay Ridge,27.37
Climate and Health,Older adults living alone,Coney Island - Sheepshead Bay,30.04
Climate and Health,Older adults living alone,Williamsburg - Bushwick,30.31
Climate and Health,Older adults living alone,Washington Heights,30.78
Climate and Health,Older adults living alone,Central Harlem - Morningside Heights,44.41
Climate and Health,Older adults living alone,East Harlem,44.77
Climate and Health,Older adults living alone,Upper West Side,42.87
Climate and Health,Older adults living alone,Upper East Side,39.85
Climate and Health,Older adults living alone,Chelsea - Clinton,51.71
Climate and Health,Older adults living alone,Gramercy Park - Murray Hill,46.55
Climate and Health,Older adults living alone,Greenwich Village - SoHo,39.44
Climate and Health,Older adults living alone,Union Square - Lower East Side,35.13
Climate and Health,Older adults living alone,Lower Manhattan,33.18
Climate and Health,Older adults living alone,Long Island City - Astoria,33.84
Climate and Health,Older adults living alone,West Queens,25.66
Climate and Health,Older adults living alone,Flushing - Clearview,23.5
Climate and Health,Older adults living alone,Bayside - Little Neck,23.61
Climate and Health,Older adults living alone,Ridgewood - Forest Hills,27.82
Climate and Health,Older adults living alone,Fresh Meadows,22.99
Climate and Health,Older adults living alone,Southwest Queens,16.63
Climate and Health,Older adults living alone,Jamaica,21.83
Climate and Health,Older adults living alone,Southeast Queens,15.72
Climate and Health,Older adults living alone,Rockaways,25.86
Climate and Health,Older adults living alone,Port Richmond,26.81
Climate and Health,Older adults living alone,Stapleton - St. George,30.02
Climate and Health,Older adults living alone,Willowbrook,21.87
Climate and Health,Older adults living alone,South Beach - Tottenville,19.48
Climate and Health,Older adults living alone,Kingsbridge - Riverdale,35.05
Climate and Health,Older adults living alone,Northeast Bronx,26.48
Climate and Health,Older adults living alone,Fordham - Bronx Pk,35.55
Climate and Health,Older adults living alone,Pelham - Throgs Neck,30.17
Climate and Health,Older adults living alone,Crotona -Tremont,34.66
Climate and Health,Older adults living alone,High Bridge - Morrisania,43.15
Climate and Health,Older adults living alone,Hunts Point - Mott Haven,40.83
Climate and Health,Older adults living alone,Greenpoint,29.27
Climate and Health,Older adults living alone,Downtown - Heights - Slope,31
Climate and Health,Older adults living alone,Bedford Stuyvesant - Crown Heights,33.39
Climate and Health,Older adults living alone,East New York,25.51
Climate and Health,Older adults living alone,Sunset Park,20.84
Climate and Health,Older adults living alone,Borough Park,26.11
Climate and Health,Older adults living alone,East Flatbush - Flatbush,24.84
Climate and Health,Older adults living alone,Canarsie - Flatlands,22.64
Climate and Health,Older adults living alone,Bensonhurst - Bay Ridge,25.71
Climate and Health,Older adults living alone,Coney Island - Sheepshead Bay,29.67
Climate and Health,Older adults living alone,Williamsburg - Bushwick,27.84
Climate and Health,Older adults living alone,Washington Heights,29.7
Climate and Health,Older adults living alone,Central Harlem - Morningside Heights,45.68
Climate and Health,Older adults living alone,East Harlem,46.26
Climate and Health,Older adults living alone,Upper West Side,43.87
Climate and Health,Older adults living alone,Upper East Side,38.44
Climate and Health,Older adults living alone,Chelsea - Clinton,53.24
Climate and Health,Older adults living alone,Gramercy Park - Murray Hill,42.35
Climate and Health,Older adults living alone,Greenwich Village - SoHo,36.98
Climate and Health,Older adults living alone,Union Square - Lower East Side,37.18
Climate and Health,Older adults living alone,Lower Manhattan,31.6
Climate and Health,Older adults living alone,Long Island City - Astoria,31.82
Climate and Health,Older adults living alone,West Queens,23.98
Climate and Health,Older adults living alone,Flushing - Clearview,23.56
Climate and Health,Older adults living alone,Bayside - Little Neck,22.29
Climate and Health,Older adults living alone,Ridgewood - Forest Hills,26.59
Climate and Health,Older adults living alone,Fresh Meadows,21.3
Climate and Health,Older adults living alone,Southwest Queens,15.71
Climate and Health,Older adults living alone,Jamaica,20.09
Climate and Health,Older adults living alone,Southeast Queens,15.61
Climate and Health,Older adults living alone,Rockaways,27.39
Climate and Health,Older adults living alone,Port Richmond,27.76
Climate and Health,Older adults living alone,Stapleton - St. George,28.09
Climate and Health,Older adults living alone,Willowbrook,20.81
Climate and Health,Older adults living alone,South Beach - Tottenville,20.19
Climate and Health,Older adults with air conditioners (age 65+),Kingsbridge - Riverdale,NA
Climate and Health,Older adults with air conditioners (age 65+),Northeast Bronx,NA
Climate and Health,Older adults with air conditioners (age 65+),Fordham - Bronx Pk,83.6
Climate and Health,Older adults with air conditioners (age 65+),Pelham - Throgs Neck,92.6
Climate and Health,Older adults with air conditioners (age 65+),Crotona -Tremont,71.6
Climate and Health,Older adults with air conditioners (age 65+),High Bridge - Morrisania,58.4
Climate and Health,Older adults with air conditioners (age 65+),Hunts Point - Mott Haven,NA
Climate and Health,Older adults with air conditioners (age 65+),Greenpoint,84.8
Climate and Health,Older adults with air conditioners (age 65+),Downtown - Heights - Slope,88.2
Climate and Health,Older adults with air conditioners (age 65+),Bedford Stuyvesant - Crown Heights,90.6
Climate and Health,Older adults with air conditioners (age 65+),East New York,NA
Climate and Health,Older adults with air conditioners (age 65+),Sunset Park,69
Climate and Health,Older adults with air conditioners (age 65+),Borough Park,75.7
Climate and Health,Older adults with air conditioners (age 65+),East Flatbush - Flatbush,78.8
Climate and Health,Older adults with air conditioners (age 65+),Canarsie - Flatlands,NA
Climate and Health,Older adults with air conditioners (age 65+),Bensonhurst - Bay Ridge,NA
Climate and Health,Older adults with air conditioners (age 65+),Coney Island - Sheepshead Bay,NA
Climate and Health,Older adults with air conditioners (age 65+),Williamsburg - Bushwick,79.2
Climate and Health,Older adults with air conditioners (age 65+),Washington Heights,73.7
Climate and Health,Older adults with air conditioners (age 65+),Central Harlem - Morningside Heights,95.8
Climate and Health,Older adults with air conditioners (age 65+),East Harlem,76.8
Climate and Health,Older adults with air conditioners (age 65+),Upper West Side,NA
Climate and Health,Older adults with air conditioners (age 65+),Upper East Side,91.5
Climate and Health,Older adults with air conditioners (age 65+),Chelsea - Clinton,NA
Climate and Health,Older adults with air conditioners (age 65+),Gramercy Park - Murray Hill,NA
Climate and Health,Older adults with air conditioners (age 65+),Greenwich Village - SoHo,86.7
Climate and Health,Older adults with air conditioners (age 65+),Union Square - Lower East Side,82.8
Climate and Health,Older adults with air conditioners (age 65+),Lower Manhattan,NA
Climate and Health,Older adults with air conditioners (age 65+),Long Island City - Astoria,NA
Climate and Health,Older adults with air conditioners (age 65+),West Queens,NA
Climate and Health,Older adults with air conditioners (age 65+),Flushing - Clearview,NA
Climate and Health,Older adults with air conditioners (age 65+),Bayside - Little Neck,NA
Climate and Health,Older adults with air conditioners (age 65+),Ridgewood - Forest Hills,NA
Climate and Health,Older adults with air conditioners (age 65+),Fresh Meadows,92.1
Climate and Health,Older adults with air conditioners (age 65+),Southwest Queens,90.7
Climate and Health,Older adults with air conditioners (age 65+),Jamaica,75.8
Climate and Health,Older adults with air conditioners (age 65+),Southeast Queens,NA
Climate and Health,Older adults with air conditioners (age 65+),Rockaways,73.5
Climate and Health,Older adults with air conditioners (age 65+),Port Richmond,NA
Climate and Health,Older adults with air conditioners (age 65+),Stapleton - St. George,NA
Climate and Health,Older adults with air conditioners (age 65+),Willowbrook,NA
Climate and Health,Older adults with air conditioners (age 65+),South Beach - Tottenville,NA
Climate and Health,Asthma emergency department visits (age 5 to 17),Kingsbridge - Riverdale,101.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Northeast Bronx,192.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Fordham - Bronx Pk,228.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Pelham - Throgs Neck,211
Climate and Health,Asthma emergency department visits (age 5 to 17),Crotona -Tremont,340.4
Climate and Health,Asthma emergency department visits (age 5 to 17),High Bridge - Morrisania,342.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Hunts Point - Mott Haven,362.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenpoint,110.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Downtown - Heights - Slope,162.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Bedford Stuyvesant - Crown Heights,286.2
Climate and Health,Asthma emergency department visits (age 5 to 17),East New York,269.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Sunset Park,71.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Borough Park,19.8
Climate and Health,Asthma emergency department visits (age 5 to 17),East Flatbush - Flatbush,166.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Canarsie - Flatlands,116.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Bensonhurst - Bay Ridge,24.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Coney Island - Sheepshead Bay,65.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Williamsburg - Bushwick,345
Climate and Health,Asthma emergency department visits (age 5 to 17),Washington Heights,257.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Central Harlem - Morningside Heights,687.1
Climate and Health,Asthma emergency department visits (age 5 to 17),East Harlem,485.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper West Side,260.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper East Side,68.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Chelsea - Clinton,231.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Gramercy Park - Murray Hill,93.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenwich Village - SoHo,38
Climate and Health,Asthma emergency department visits (age 5 to 17),Union Square - Lower East Side,201.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Lower Manhattan,78
Climate and Health,Asthma emergency department visits (age 5 to 17),Long Island City - Astoria,139.3
Climate and Health,Asthma emergency department visits (age 5 to 17),West Queens,115.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Flushing - Clearview,83.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Bayside - Little Neck,31.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Ridgewood - Forest Hills,93.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Fresh Meadows,72.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Southwest Queens,110.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Jamaica,171.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Southeast Queens,116.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Rockaways,210.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Port Richmond,181.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Stapleton - St. George,145.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Willowbrook,60.9
Climate and Health,Asthma emergency department visits (age 5 to 17),South Beach - Tottenville,50.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Kingsbridge - Riverdale,96.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Northeast Bronx,229.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Fordham - Bronx Pk,236.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Pelham - Throgs Neck,265.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Crotona -Tremont,388.7
Climate and Health,Asthma emergency department visits (age 5 to 17),High Bridge - Morrisania,411.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Hunts Point - Mott Haven,440.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenpoint,102.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Downtown - Heights - Slope,158.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Bedford Stuyvesant - Crown Heights,288.8
Climate and Health,Asthma emergency department visits (age 5 to 17),East New York,253.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Sunset Park,63.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Borough Park,27
Climate and Health,Asthma emergency department visits (age 5 to 17),East Flatbush - Flatbush,184.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Canarsie - Flatlands,126.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Bensonhurst - Bay Ridge,26.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Coney Island - Sheepshead Bay,67.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Williamsburg - Bushwick,291.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Washington Heights,226.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Central Harlem - Morningside Heights,554.1
Climate and Health,Asthma emergency department visits (age 5 to 17),East Harlem,570.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper West Side,153.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper East Side,72.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Chelsea - Clinton,199.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Gramercy Park - Murray Hill,118.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenwich Village - SoHo,53.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Union Square - Lower East Side,210.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Lower Manhattan,115.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Long Island City - Astoria,165.2
Climate and Health,Asthma emergency department visits (age 5 to 17),West Queens,153
Climate and Health,Asthma emergency department visits (age 5 to 17),Flushing - Clearview,88.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Bayside - Little Neck,42.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Ridgewood - Forest Hills,80.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Fresh Meadows,89.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Southwest Queens,131.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Jamaica,194
Climate and Health,Asthma emergency department visits (age 5 to 17),Southeast Queens,120.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Rockaways,218.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Port Richmond,186.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Stapleton - St. George,167.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Willowbrook,60.6
Climate and Health,Asthma emergency department visits (age 5 to 17),South Beach - Tottenville,41.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Kingsbridge - Riverdale,110.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Northeast Bronx,219.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Fordham - Bronx Pk,243.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Pelham - Throgs Neck,257.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Crotona -Tremont,356.2
Climate and Health,Asthma emergency department visits (age 5 to 17),High Bridge - Morrisania,367.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Hunts Point - Mott Haven,410
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenpoint,151.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Downtown - Heights - Slope,141.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Bedford Stuyvesant - Crown Heights,280.2
Climate and Health,Asthma emergency department visits (age 5 to 17),East New York,259.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Sunset Park,86.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Borough Park,21
Climate and Health,Asthma emergency department visits (age 5 to 17),East Flatbush - Flatbush,193.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Canarsie - Flatlands,121.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Bensonhurst - Bay Ridge,34.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Coney Island - Sheepshead Bay,68.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Williamsburg - Bushwick,295.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Washington Heights,228.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Central Harlem - Morningside Heights,566.4
Climate and Health,Asthma emergency department visits (age 5 to 17),East Harlem,601.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper West Side,158.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper East Side,62.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Chelsea - Clinton,200.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Gramercy Park - Murray Hill,124.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenwich Village - SoHo,32.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Union Square - Lower East Side,242.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Lower Manhattan,84.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Long Island City - Astoria,175.8
Climate and Health,Asthma emergency department visits (age 5 to 17),West Queens,138.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Flushing - Clearview,81.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Bayside - Little Neck,49.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Ridgewood - Forest Hills,76.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Fresh Meadows,100
Climate and Health,Asthma emergency department visits (age 5 to 17),Southwest Queens,137.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Jamaica,141.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Southeast Queens,101.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Rockaways,236.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Port Richmond,160.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Stapleton - St. George,131.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Willowbrook,39.7
Climate and Health,Asthma emergency department visits (age 5 to 17),South Beach - Tottenville,38.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Kingsbridge - Riverdale,105.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Northeast Bronx,238.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Fordham - Bronx Pk,228.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Pelham - Throgs Neck,237.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Crotona -Tremont,338.3
Climate and Health,Asthma emergency department visits (age 5 to 17),High Bridge - Morrisania,382.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Hunts Point - Mott Haven,403.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenpoint,95.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Downtown - Heights - Slope,151.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Bedford Stuyvesant - Crown Heights,287.2
Climate and Health,Asthma emergency department visits (age 5 to 17),East New York,271.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Sunset Park,86.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Borough Park,23.8
Climate and Health,Asthma emergency department visits (age 5 to 17),East Flatbush - Flatbush,180
Climate and Health,Asthma emergency department visits (age 5 to 17),Canarsie - Flatlands,125.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Bensonhurst - Bay Ridge,28.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Coney Island - Sheepshead Bay,63.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Williamsburg - Bushwick,305.9
Climate and Health,Asthma emergency department visits (age 5 to 17),Washington Heights,231.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Central Harlem - Morningside Heights,541.9
Climate and Health,Asthma emergency department visits (age 5 to 17),East Harlem,615.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper West Side,157.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Upper East Side,71.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Chelsea - Clinton,151.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Gramercy Park - Murray Hill,149.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenwich Village - SoHo,37.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Union Square - Lower East Side,220.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Lower Manhattan,92.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Long Island City - Astoria,159.7
Climate and Health,Asthma emergency department visits (age 5 to 17),West Queens,131.8
Climate and Health,Asthma emergency department visits (age 5 to 17),Flushing - Clearview,80.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Bayside - Little Neck,51.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Ridgewood - Forest Hills,79.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Fresh Meadows,77.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Southwest Queens,129.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Jamaica,147.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Southeast Queens,100.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Rockaways,199.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Port Richmond,142.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Stapleton - St. George,138.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Willowbrook,50.2
Climate and Health,Asthma emergency department visits (age 5 to 17),South Beach - Tottenville,43.6
Climate and Health,Asthma emergency department visits (age 5 to 17),Kingsbridge - Riverdale,127.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Northeast Bronx,151.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Fordham - Bronx Pk,262.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Pelham - Throgs Neck,198.2
Climate and Health,Asthma emergency department visits (age 5 to 17),Crotona -Tremont,317.7
Climate and Health,Asthma emergency department visits (age 5 to 17),High Bridge - Morrisania,378.5
Climate and Health,Asthma emergency department visits (age 5 to 17),Hunts Point - Mott Haven,492
Climate and Health,Asthma emergency department visits (age 5 to 17),Greenpoint,125.3
Climate and Health,Asthma emergency department visits (age 5 to 17),Downtown - Heights - Slope,137.4
Climate and Health,Asthma emergency department visits (age 5 to 17),Bedford Stuyvesant - Crown Heights,304
Climate and Health,Asthma emergency department visits (age 5 to 17),East New York,287.7
Climate and Health,Asthma emergency department visits (age 5 to 17),Sunset Park,84.1
Climate and Health,Asthma emergency department visits (age 5 to 17),Borough Park,30
Climate and Health,Asthma emergency department visits (age 5 to 17),East Flatbush - Flatbush,190.8
